charge_date,vendor,amount,currency,invoice_no,subject,messageId,threadId,threadUrl,source,notes
2025-09-09,Amazon,28.84,EUR,303-1524257-3548303,Dispatched: ‘Bouge 5 m Power Cable...’,1992cf558a4f01b3,1992cf558a4f01b3,https://mail.google.com/mail/u/0/#inbox/1992cf558a4f01b3,versandbestaetigung@amazon.de,Dispatched (shipment)
2025-09-10,Bolt,3.85,EUR,LV1225-2659524,Your Bolt Scooter ride on Wednesday,199323f50f09e864,199323f50f09e864,https://mail.google.com/mail/u/0/#inbox/199323f50f09e864,receipts@bolt.eu,Ride receipt — PDF available
2025-09-09,Carguru,2.99,EUR,9092193661,Your Carguru trip,1992f6e28ce5a44d,1992d1387e55a0d1,https://mail.google.com/mail/u/0/#inbox/1992d1387e55a0d1,noreply@carguru.lv,Parsed from PDF OCR
2025-09-11,Carguru,4.43,EUR,11092195526,Your Carguru trip,19939b77147a43db,19939b77147a43db,https://mail.google.com/mail/u/0/#inbox/19939b77147a43db,noreply@carguru.lv,Parsed from PDF OCR
2025-09-12,Carguru,4.36,EUR,12092195857,Your Carguru trip,1993c81df00d24a5,1993c81df00d24a5,https://mail.google.com/mail/u/0/#inbox/1993c81df00d24a5,noreply@carguru.lv,Parsed from PDF OCR
2025-09-12,Bolt,14.83,EUR,LV1325-1172611,Your Bolt Drive ride with Toyota Yaris Cross on Friday,1993e9d4f89a9a08,1993e9d4f89a9a08,https://mail.google.com/mail/u/0/#inbox/1993e9d4f89a9a08,receipts@bolt.eu,Total charged parsed from email body
2025-09-12,Bolt,5.68,EUR,LV1325-1173813,Your Bolt Drive ride with VW T-Cross on Friday,1993f3943e4d9d9e,1993f3943e4d9d9e,https://mail.google.com/mail/u/0/#inbox/1993f3943e4d9d9e,receipts@bolt.eu,Total parsed from email (Total charged)
2025-09-13,Bolt,9.9,EUR,,Your Bolt ride on Saturday,199441ac93b519ad,199441ac93b519ad,https://mail.google.com/mail/u/0/#inbox/199441ac93b519ad,receipts-latvia@bolt.eu,Parsed total charged from email body
2025-09-14,Bolt,21.7,EUR,,Your Bolt ride on Sunday,199459596173d1a6,199459596173d1a6,https://mail.google.com/mail/u/0/#inbox/199459596173d1a6,receipts-latvia@bolt.eu,Total parsed from email body
2025-09-14,Amazon,80.18,EUR,303-8434597-9216359,Ordered: ‘Principles: Life and Work’ and 3 more items,19948e4e3719068d,19948e4e3719068d,https://mail.google.com/mail/u/0/#inbox/19948e4e3719068d,bestellbestaetigung@amazon.de,Order confirmation; total parsed from email body.
2025-09-15,CityBee,5.38,EUR,5443707,"CityBee trip on 2025 September 15, 5443707",1994c19c1dc4c7f6,1994c19c1dc4c7f6,https://mail.google.com/mail/u/0/#inbox/1994c19c1dc4c7f6,info@citybee.lv,Total parsed from email body
2025-09-17,Bolt,2.55,EUR,LV1325-1196201,Your Bolt Drive ride with Audi A3 Sedan on Wednesday,199566d34f89d20b,199566d34f89d20b,https://mail.google.com/mail/u/0/#inbox/199566d34f89d20b,receipts@bolt.eu,Parsed total from email; invoice LV1325-1196201
2025-09-17,Indiešu Kebabs,11.33,EUR,,Delivery from Bolt Food,19957a66827458f2,19957a66827458f2,https://mail.google.com/mail/u/0/#inbox/19957a66827458f2,latvia-food@bolt.eu,Total charged parsed from body
2025-09-18,CityBee,4.23,EUR,5453982,"CityBee trip on 2025 September 18, 5453982",1995da7520354cab,1995da7520354cab,https://mail.google.com/mail/u/0/#inbox/1995da7520354cab,info@citybee.lv,Total parsed from email; trip receipt
2025-09-23,n8n,29.04,EUR,74546241-146560969,Your Cloud Starter Subscription will renew soon,1995f76692307047,1995f76692307047,https://mail.google.com/mail/u/0/#inbox/1995f76692307047,help@paddle.com,pre-billing; renewal on 2025-09-23; card ending 9385
2025-09-19,Bolt,12.09,EUR,LV1325-1207059,Your Bolt Drive ride with VW Golf (DIESEL) on Friday,19960ba69dbcb071,19960ba69dbcb071,https://mail.google.com/mail/u/0/#inbox/19960ba69dbcb071,receipts@bolt.eu,Total charged found in email (Total charged 12.09€)
2025-09-19,Bolt,25.13,EUR,,Delivery from Bolt Food,19961c24171ebe4c,19961c24171ebe4c,https://mail.google.com/mail/u/0/#inbox/19961c24171ebe4c,latvia-food@bolt.eu,Total charged parsed from email.
2025-09-20,Bolt,16.7,EUR,,Your Bolt ride on Saturday,1996873eae3b88ab,1996873eae3b88ab,https://mail.google.com/mail/u/0/#inbox/1996873eae3b88ab,receipts-latvia@bolt.eu,Total parsed from email (Total charged)
2025-09-21,Bolt,18.2,EUR,,Your Bolt ride on Sunday,1996970430e239cb,1996970430e239cb,https://mail.google.com/mail/u/0/#inbox/1996970430e239cb,receipts-latvia@bolt.eu,Total parsed from email body
2025-09-21,Thomann,454,EUR,202538.1344,Your order with Thomann (14275200),1996bae04c961c43,1996bae04c961c43,https://mail.google.com/mail/u/0/#inbox/1996bae04c961c43,international@thomann.de,Order confirmation
2025-08-31,Mazulītis Rū,827.46,EUR,,RE: Rēķins par Privātās Montessori sākumskolas pakalpojumiem,1996bd74e6dc3fea,199692e96acf8239,https://mail.google.com/mail/u/0/#inbox/199692e96acf8239,gramatvediba@mazulitisru.lv,Body mentions parāds 827.46 EUR as of 2025-08-31
2025-09-21,Mārupes Kebabs,12.93,EUR,,Delivery from Bolt Food,1996d2a7b00d9bb6,1996d2a7b00d9bb6,https://mail.google.com/mail/u/0/#inbox/1996d2a7b00d9bb6,latvia-food@bolt.eu,parsed from email body
2025-10-22,Apple,34.99,EUR,,Your Subscription Renewal,1996edb250227039,1996edb250227039,https://mail.google.com/mail/u/0/#inbox/1996edb250227039,no_reply@email.apple.com,Subscription renewal for FamiLami (6 months)
2025-09-22,Bolt,2.98,EUR,LV1325-1222235,Your Bolt Drive ride with Toyota Yaris Cross on Monday,19970182da598b60,19970182da598b60,https://mail.google.com/mail/u/0/#inbox/19970182da598b60,receipts@bolt.eu,Total charged parsed from email
2025-09-21,Thomann,454,EUR,202538.1344,Shipping confirmation and invoice (14275200),1997154ca4516a83,1997154ca4516a83,https://mail.google.com/mail/u/0/#inbox/1997154ca4516a83,international@thomann.de,Order total found in email; Order date used as charge_date.
2025-09-22,Amazon,12.61,EUR,303-8434597-9216359,Dispatched: ‘Lessons of History’,19971c78d6a16496,19971c78d6a16496,https://mail.google.com/mail/u/0/#inbox/19971c78d6a16496,versandbestaetigung@amazon.de,Total parsed from email (Total)
2025-09-23,n8n,29.04,EUR,74546241-146560969,Your Cloud Starter Subscription will renew soon,1997418dd8064217,1997418dd8064217,https://mail.google.com/mail/u/0/#inbox/1997418dd8064217,help@paddle.com,Subscription renewal notice; card ending 9385
2025-09-23,n8n,29.04,EUR,74546241-146560970,Your n8n receipt,199747581f9194d1,199747581f9194d1,https://mail.google.com/mail/u/0/#inbox/199747581f9194d1,help@paddle.com,Subscription receipt via Paddle. Amount Paid €29.04.
2025-09-23,ARMS,286.57,EUR,41401837,[AUTOMATED] - Payment Confirmed at ARMS Portal for Utilities,19977444a7241099,19977444a7241099,https://mail.google.com/mail/u/0/#inbox/19977444a7241099,noreply@arms.com.mt,Payment confirmed; Payment ID 14534353
2025-09-24,Bolt,9.9,EUR,LV1325-1233038,Your Bolt Drive ride with VW Tiguan on Wednesday,1997a8057746bbe2,1997a8057746bbe2,https://mail.google.com/mail/u/0/#inbox/1997a8057746bbe2,receipts@bolt.eu,Total charged 9.90€ parsed from email; invoice link present
2025-09-24,Carguru,2.99,EUR,24092207701,Your Carguru trip,1997c983796dc330,1997c983796dc330,https://mail.google.com/mail/u/0/#inbox/1997c983796dc330,noreply@carguru.lv,Parsed from PDF OCR
2025-09-25,Carguru,3.03,EUR,25092208074,Your Carguru trip,1997f7d6017d9b07,1997f7d6017d9b07,https://mail.google.com/mail/u/0/#inbox/1997f7d6017d9b07,noreply@carguru.lv,Parsed from PDF OCR
2025-09-25,Bolt,4.84,EUR,LV1325-1241876,Your Bolt Drive ride with VW T-Cross on Thursday,199819d5028835d9,199819d5028835d9,https://mail.google.com/mail/u/0/#inbox/199819d5028835d9,receipts@bolt.eu,Total parsed from email body
2025-09-26,Bolt,7.06,EUR,LV1325-1244284,Your Bolt Drive ride with Toyota Yaris Cross on Friday,19984d6413db8b66,19984d6413db8b66,https://mail.google.com/mail/u/0/#inbox/19984d6413db8b66,receipts@bolt.eu,Total charged in email; PDF invoice link present.
2025-09-26,CityBee,3.03,EUR,,"CityBee trip on 2025 September 26, 5476053",199870ff12a237b0,199870ff12a237b0,https://mail.google.com/mail/u/0/#inbox/199870ff12a237b0,info@citybee.lv,Parsed total from email body
2025-09-27,Apple,3.99,EUR,,Your Subscription is Confirmed,1998b7dc658d8917,1998b7dc658d8917,https://mail.google.com/mail/u/0/#inbox/1998b7dc658d8917,no_reply@email.apple.com,"Subscription confirmed — renewal price €3,99/month; trial 3 days."
2025-09-30,Apple,3.99,EUR,,Your Subscription is Confirmed,19990a44360b7933,19990a44360b7933,https://mail.google.com/mail/u/0/#inbox/19990a44360b7933,email.apple.com,Subscription; renewal €3.99/month from 2025-09-30; trial 3 days
2025-09-29,RideNow,26.48,EUR,2694417,Report on your trip RideNow,199963bad9c2235c,199963bad9c2235c,https://mail.google.com/mail/u/0/#inbox/199963bad9c2235c,info@ridenow.tech,Final total parsed from email
2025-09-29,Apple,3.99,EUR,782028580745,Your invoice from Apple.,1999a7c9311fc3f0,1999a7c9311fc3f0,https://mail.google.com/mail/u/0/#inbox/1999a7c9311fc3f0,no_reply@email.apple.com,App Store subscription
2025-09-30,Bolt,31.5,EUR,,Your Bolt ride on Tuesday,1999bd0132585da1,1999bd0132585da1,https://mail.google.com/mail/u/0/#inbox/1999bd0132585da1,bolt.eu,Ride receipt — total charged
2025-09-30,Apple,22.99,EUR,830028848037,Your invoice from Apple.,1999c6b5dbc65a3a,1999a7c9311fc3f0,https://mail.google.com/mail/u/0/#inbox/1999a7c9311fc3f0,no_reply@email.apple.com,Subscription receipt - ChatGPT Plus
2025-09-30,Bolt,23.5,EUR,,Your Bolt ride on Tuesday,1999ca66183837e5,1999bd0132585da1,https://mail.google.com/mail/u/0/#inbox/1999bd0132585da1,receipts-cyprus@bolt.eu,Ride receipt — total parsed from email
2025-10-01,Etsy,2.7,GBP,3813425304,Etsy Order confirmation for: £2.70 from: t2d88tbjbtziis3s (3813425304),199a0f56b5f2bdf5,199a0f56b5f2bdf5,https://mail.google.com/mail/u/0/#inbox/199a0f56b5f2bdf5,transaction@etsy.com,Order total parsed from email (Transaction 4763479703)
2025-10-02,Arlo,12.99,EUR,VFAG00000009971648,Your invoice from Arlo,199a4103590b5775,199a4103590b5775,https://mail.google.com/mail/u/0/#inbox/199a4103590b5775,noreply@arlo.com,Parsed total from email
2025-10-03,Bolt,19.5,EUR,,Your Bolt ride on Friday,199a9855a2b78966,199a9855a2b78966,https://mail.google.com/mail/u/0/#inbox/199a9855a2b78966,receipts-cyprus@bolt.eu,Total extracted from email body
2025-10-03,Bolt,13.5,EUR,,Your Bolt ride on Friday,199aa1748f17db59,199a9855a2b78966,https://mail.google.com/mail/u/0/#inbox/199a9855a2b78966,receipts-cyprus@bolt.eu,Parsed total from email body
2025-10-03,Bolt,9,EUR,,Your Bolt ride on Friday,199aa9a3f40e7737,199a9855a2b78966,https://mail.google.com/mail/u/0/#inbox/199a9855a2b78966,receipts-cyprus@bolt.eu,Total parsed from email (Total: 9.00€)
2025-10-03,RideNow,2.09,EUR,2709381,Report on your trip RideNow,199ab92d2e9a2e82,199ab92d2e9a2e82,https://mail.google.com/mail/u/0/#inbox/199ab92d2e9a2e82,info@ridenow.tech,Parsed total and invoice_no from email body
